Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
11:15,13:25,Bilbao,BIO,Ámsterdam-Schiphol,AMS,2h 10m,Iberia,Promocionados,364 €,2024-03-26 00:30:00,2024-04-01
12:00,14:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,2h 00m,KLM,Promocionados,398 €,2024-03-26 00:30:00,2024-04-01
13:40,18:30,,-,scala,1 e,4h 50m,Iberia,Promocionados,282 €,2024-03-26 00:30:00,2024-04-01
6:50,9:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 10m,KLM,357 €,2024-03-26 00:30:00,2024-04-01
12:30,18:40,Bilbao,BIO,Ámsterdam-Schiphol,AMS,LIS,6h 10m,TAP AIR PORTUGAL,234 €,2024-03-26 00:30:00,2024-04-01
7:10,12:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,5h 25m,Vueling,271 €,2024-03-26 00:30:00,2024-04-01
14:10,18:30,Bilbao,BIO,Ámsterdam-Schiphol,AMS,FRA,4h 20m,Lufthansa,365 €,2024-03-26 00:30:00,2024-04-01
7:10,11:30,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,4h 20m,Air France,360 €,2024-03-26 00:30:00,2024-04-01
15:00,22:15,Bilbao,BIO,Ámsterdam-Schiphol,AMS,MAN,7h 15m,easyJet,245 €,2024-03-26 00:30:00,2024-04-01
7:10,13:10,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,6h 00m,Air France,306 €,2024-03-26 00:30:00,2024-04-01
15:00,21:05,Bilbao,BIO,Ámsterdam-Schiphol,AMS,MAN,6h 05m,easyJet,289 €,2024-03-26 00:30:00,2024-04-01
8:55,15:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,6h 40m,Vueling,317 €,2024-03-26 00:30:00,2024-04-01
10:30,14:50,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,4h 20m,Air France,394 €,2024-03-26 00:30:00,2024-04-01
15:50,20:45,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,4h 55m,Vueling,390 €,2024-03-26 00:30:00,2024-04-01
15:50,21:55,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,6h 05m,Vueling,344 €,2024-03-26 00:30:00,2024-04-01
13:50,18:55,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,5h 05m,Vueling,390 €,2024-03-26 00:30:00,2024-04-01
10:30,15:55,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,5h 25m,Air France,368 €,2024-03-26 00:30:00,2024-04-01
7:10,14:50,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,7h 40m,Air France,306 €,2024-03-26 00:30:00,2024-04-01
8:55,17:40,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,8h 45m,Vueling,290 €,2024-03-26 00:30:00,2024-04-01
9:15,15:45,Bilbao,BIO,Ámsterdam-Schiphol,AMS,MAD,6h 30m,Iberia,359 €,2024-03-26 00:30:00,2024-04-01
19:00,0:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,LIS,5h 35m,"Vueling, Transavia",380 €,2024-03-26 00:30:00,2024-04-01
7:10,15:55,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,8h 45m,Air France,306 €,2024-03-26 00:30:00,2024-04-01
15:15,20:20,Bilbao,BIO,Ámsterdam-Schiphol,AMS,MXP,5h 05m,easyJet,413 €,2024-03-26 00:30:00,2024-04-01
7:10,15:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,8h 25m,Vueling,317 €,2024-03-26 00:30:00,2024-04-01
11:00,18:25,Bilbao,BIO,Ámsterdam-Schiphol,AMS,"MAH, PMI",7h 25m,Varias aerolíneas,275 €,2024-03-26 00:30:00,2024-04-01
7:35,15:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,MUC,7h 25m,Lufthansa,354 €,2024-03-26 00:30:00,2024-04-01
10:30,17:30,Bilbao,BIO,Ámsterdam-Schiphol,AMS,LGW,7h 00m,easyJet,312 €,2024-03-26 00:30:00,2024-04-01
