Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
11:45,15:35,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 50m,Vueling,65 €,2024-06-02 23:10:03,2024-09-04
19:55,23:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 55m,Vueling,65 €,2024-06-02 23:10:03,2024-09-04
17:40,21:25,Bilbao,BIO,Málaga-Costa del Sol,AGP,PMI,3h 45m,Air Europa,83 €,2024-06-02 23:10:03,2024-09-04
12:45,16:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 30m,Air Europa,89 €,2024-06-02 23:10:03,2024-09-04
11:45,16:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,5h 05m,Vueling,66 €,2024-06-02 23:10:03,2024-09-04
8:55,14:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,5h 20m,Vueling,66 €,2024-06-02 23:10:03,2024-09-04
7:40,14:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,6h 35m,Vueling,57 €,2024-06-02 23:10:03,2024-09-04
8:55,15:35,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,6h 40m,Vueling,56 €,2024-06-02 23:10:03,2024-09-04
17:20,23:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,6h 30m,Vueling,79 €,2024-06-02 23:10:03,2024-09-04
14:25,21:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,"VLC, IBZ",6h 55m,Vueling,69 €,2024-06-02 23:10:03,2024-09-04
14:25,21:25,Bilbao,BIO,Málaga-Costa del Sol,AGP,"VLC, PMI",7h 00m,"Vueling, Air Europa",77 €,2024-06-02 23:10:03,2024-09-04
19:45,21:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 30m,Iberia,159 €,2024-06-02 23:10:03,2024-09-04
8:50,10:25,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Iberia,159 €,2024-06-02 23:10:03,2024-09-04
