Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
21:05,22:10,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 05m,Air Europa,104 €,2024-03-10 01:30:00,2024-03-31
12:45,13:50,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 05m,Air Europa,104 €,2024-03-10 01:30:00,2024-03-31
17:40,18:50,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,134 €,2024-03-10 01:30:00,2024-03-31
17:40,18:50,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Vueling,157 €,2024-03-10 01:30:00,2024-03-31
21:35,22:45,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,136 €,2024-03-10 01:30:00,2024-03-31
13:40,14:50,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,166 €,2024-03-10 01:30:00,2024-03-31
13:40,14:50,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Vueling,229 €,2024-03-10 01:30:00,2024-03-31
9:15,10:25,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,302 €,2024-03-10 01:30:00,2024-03-31
8:55,13:20,Bilbao,BIO,Madrid-Barajas,MAD,BCN,4h 25m,"Vueling, Air Europa",206 €,2024-03-10 01:30:00,2024-03-31
8:55,14:00,Bilbao,BIO,Madrid-Barajas,MAD,BCN,5h 05m,Vueling,182 €,2024-03-10 01:30:00,2024-03-31
15:15,19:30,Bilbao,BIO,Madrid-Barajas,MAD,BCN,4h 15m,"Vueling, Iberia",265 €,2024-03-10 01:30:00,2024-03-31
15:15,19:30,Bilbao,BIO,Madrid-Barajas,MAD,BCN,4h 15m,Vueling,304 €,2024-03-10 01:30:00,2024-03-31
7:00,10:40,Bilbao,BIO,Madrid-Barajas,MAD,VLC,3h 40m,"Vueling, Iberia",357 €,2024-03-10 01:30:00,2024-03-31
10:55,15:55,Bilbao,BIO,Madrid-Barajas,MAD,BCN,5h 00m,"Vueling, Iberia",293 €,2024-03-10 01:30:00,2024-03-31
10:55,15:55,Bilbao,BIO,Madrid-Barajas,MAD,BCN,5h 00m,Vueling,368 €,2024-03-10 01:30:00,2024-03-31
20:30,0:20,Bilbao,BIO,Madrid-Barajas,MAD,LIS,3h 50m,TAP AIR PORTUGAL,511 €,2024-03-10 01:30:00,2024-03-31
16:45,20:20,Bilbao,BIO,Madrid-Barajas,MAD,PMI,3h 35m,Air Europa,575 €,2024-03-10 01:30:00,2024-03-31
16:45,21:40,Bilbao,BIO,Madrid-Barajas,MAD,"PMI, VLC",4h 55m,Air Europa,481 €,2024-03-10 01:30:00,2024-03-31
16:45,20:40,Bilbao,BIO,Madrid-Barajas,MAD,PMI,3h 55m,Air Europa,575 €,2024-03-10 01:30:00,2024-03-31
20:10,23:00,Bilbao,BIO,Madrid-Barajas,MAD,SCQ,2h 50m,Iberia,635 €,2024-03-10 01:30:00,2024-03-31
11:30,14:35,Bilbao,BIO,Madrid-Barajas,MAD,VGO,3h 05m,Iberia,631 €,2024-03-10 01:30:00,2024-03-31
8:55,14:00,Bilbao,BIO,Madrid-Barajas,MAD,BCN,5h 05m,Iberia,575 €,2024-03-10 01:30:00,2024-03-31
10:30,15:40,Bilbao,BIO,Madrid-Barajas,MAD,CDG,5h 10m,Air France,581 €,2024-03-10 01:30:00,2024-03-31
15:15,16:25,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Vueling,106 €,2024-03-10 01:30:38,2024-03-31
10:55,12:05,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Vueling,106 €,2024-03-10 01:30:38,2024-03-31
23:00,0:10,,+1,,-,directo,1h 10m,Vueling,106 €,2024-03-10 01:30:38,2024-03-31
19:50,21:00,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Vueling,116 €,2024-03-10 01:30:38,2024-03-31
23:00,0:10,,+1,,-,directo,1h 10m,Iberia,213 €,2024-03-10 01:30:38,2024-03-31
15:15,16:25,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Iberia,213 €,2024-03-10 01:30:38,2024-03-31
10:55,12:05,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Iberia,213 €,2024-03-10 01:30:38,2024-03-31
8:55,10:05,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Iberia,213 €,2024-03-10 01:30:38,2024-03-31
19:50,21:00,Bilbao,BIO,Barcelona-El Prat,BCN,directo,1h 10m,Iberia,240 €,2024-03-10 01:30:38,2024-03-31
12:45,16:35,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,3h 50m,Air Europa,216 €,2024-03-10 01:30:38,2024-03-31
8:30,12:45,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,4h 15m,"Air Europa, Iberia",177 €,2024-03-10 01:30:38,2024-03-31
19:35,23:30,Bilbao,BIO,Barcelona-El Prat,BCN,IBZ,3h 55m,Vueling,198 €,2024-03-10 01:30:38,2024-03-31
14:50,19:15,Bilbao,BIO,Barcelona-El Prat,BCN,ALC,4h 25m,Vueling,198 €,2024-03-10 01:30:38,2024-03-31
9:15,12:45,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,3h 30m,Iberia,248 €,2024-03-10 01:30:38,2024-03-31
14:30,18:15,Bilbao,BIO,Barcelona-El Prat,BCN,ALC,3h 45m,"Volotea, Vueling",229 €,2024-03-10 01:30:38,2024-03-31
17:40,21:20,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,3h 40m,Vueling,312 €,2024-03-10 01:30:38,2024-03-31
17:40,21:20,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,3h 40m,Iberia,323 €,2024-03-10 01:30:38,2024-03-31
9:15,13:45,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,4h 30m,Iberia,261 €,2024-03-10 01:30:38,2024-03-31
13:40,17:20,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,3h 40m,Iberia,342 €,2024-03-10 01:30:38,2024-03-31
14:30,19:15,Bilbao,BIO,Barcelona-El Prat,BCN,ALC,4h 45m,"Volotea, Vueling",226 €,2024-03-10 01:30:38,2024-03-31
12:45,17:20,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,4h 35m,"Air Europa, Iberia",287 €,2024-03-10 01:30:38,2024-03-31
6:45,11:30,Bilbao,BIO,Barcelona-El Prat,BCN,SVQ,4h 45m,Vueling,258 €,2024-03-10 01:30:38,2024-03-31
17:40,22:50,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,5h 10m,Iberia,244 €,2024-03-10 01:30:38,2024-03-31
15:30,20:05,Bilbao,BIO,Barcelona-El Prat,BCN,SVQ,4h 35m,"Volotea, Vueling",290 €,2024-03-10 01:30:38,2024-03-31
11:10,15:55,Bilbao,BIO,Barcelona-El Prat,BCN,AGP,4h 45m,Vueling,318 €,2024-03-10 01:30:38,2024-03-31
13:40,19:15,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,5h 35m,Iberia,261 €,2024-03-10 01:30:38,2024-03-31
8:55,14:05,Bilbao,BIO,Barcelona-El Prat,BCN,PMI,5h 10m,Vueling,316 €,2024-03-10 01:30:38,2024-03-31
17:40,22:50,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,5h 10m,"Vueling, Iberia",316 €,2024-03-10 01:30:38,2024-03-31
8:30,13:45,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,5h 15m,"Air Europa, Iberia",317 €,2024-03-10 01:30:38,2024-03-31
19:00,23:45,Bilbao,BIO,Barcelona-El Prat,BCN,MAH,4h 45m,Vueling,363 €,2024-03-10 01:30:38,2024-03-31
17:40,22:50,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,5h 10m,"Iberia, Vueling",333 €,2024-03-10 01:30:38,2024-03-31
19:10,0:40,Bilbao,BIO,Barcelona-El Prat,BCN,OPO,5h 30m,Vueling,315 €,2024-03-10 01:30:38,2024-03-31
17:15,22:45,Bilbao,BIO,Barcelona-El Prat,BCN,AMS,5h 30m,KLM,329 €,2024-03-10 01:30:38,2024-03-31
8:55,14:20,Bilbao,BIO,Barcelona-El Prat,BCN,PMI,5h 25m,"Vueling, Air Europa",340 €,2024-03-10 01:30:38,2024-03-31
14:05,19:35,Bilbao,BIO,Barcelona-El Prat,BCN,FRA,5h 30m,Lufthansa,417 €,2024-03-10 01:30:38,2024-03-31
16:45,20:40,Bilbao,BIO,Barcelona-El Prat,BCN,PMI,3h 55m,"Air Europa, Vueling",528 €,2024-03-10 01:30:38,2024-03-31
20:30,1:30,Bilbao,BIO,Barcelona-El Prat,BCN,LIS,5h 00m,TAP AIR PORTUGAL,515 €,2024-03-10 01:30:38,2024-03-31
6:50,12:35,Bilbao,BIO,Barcelona-El Prat,BCN,AMS,5h 45m,KLM,481 €,2024-03-10 01:30:38,2024-03-31
19:45,0:45,Bilbao,BIO,Barcelona-El Prat,BCN,AGP,5h 00m,Vueling,304 €,2024-03-10 01:30:38,2024-03-31
6:45,11:55,Bilbao,BIO,Barcelona-El Prat,BCN,FRA,5h 10m,Lufthansa,622 €,2024-03-10 01:30:38,2024-03-31
20:30,1:10,Bilbao,BIO,Barcelona-El Prat,BCN,LIS,4h 40m,"TAP AIR PORTUGAL, Iberia",654 €,2024-03-10 01:30:38,2024-03-31
13:40,18:55,Bilbao,BIO,Barcelona-El Prat,BCN,MAD,5h 15m,Iberia,703 €,2024-03-10 01:30:38,2024-03-31
6:50,9:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 10m,KLM,130 €,2024-03-10 01:31:18,2024-03-31
12:00,14:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 00m,KLM,169 €,2024-03-10 01:31:18,2024-03-31
17:15,19:15,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 00m,KLM,201 €,2024-03-10 01:31:18,2024-03-31
7:40,9:55,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 15m,Iberia,209 €,2024-03-10 01:31:18,2024-03-31
