Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
19:35,20:55,Bilbao,BIO,Ibiza,IBZ,directo,1h 20m,Iberia,150 €,2024-03-25 22:17:00,2024-05-23
14:15,18:10,Bilbao,BIO,Ibiza,IBZ,BCN,3h 55m,Vueling,78 €,2024-03-25 22:17:00,2024-05-23
15:50,19:25,Bilbao,BIO,Ibiza,IBZ,BCN,3h 35m,Vueling,93 €,2024-03-25 22:17:00,2024-05-23
15:35,18:45,Bilbao,BIO,Ibiza,IBZ,ALC,3h 10m,Vueling,98 €,2024-03-25 22:17:00,2024-05-23
11:40,14:40,Bilbao,BIO,Ibiza,IBZ,BCN,3h 00m,Vueling,139 €,2024-03-25 22:17:00,2024-05-23
14:15,19:25,Bilbao,BIO,Ibiza,IBZ,BCN,5h 10m,Vueling,78 €,2024-03-25 22:17:00,2024-05-23
17:40,21:00,Bilbao,BIO,Ibiza,IBZ,MAD,3h 20m,Iberia,165 €,2024-03-25 22:17:00,2024-05-23
13:40,16:55,Bilbao,BIO,Ibiza,IBZ,MAD,3h 15m,Iberia,177 €,2024-03-25 22:17:00,2024-05-23
8:55,13:10,Bilbao,BIO,Ibiza,IBZ,PMI,4h 15m,"Vueling, Iberia",103 €,2024-03-25 22:17:00,2024-05-23
11:40,16:40,Bilbao,BIO,Ibiza,IBZ,BCN,5h 00m,Vueling,114 €,2024-03-25 22:17:00,2024-05-23
8:55,13:00,Bilbao,BIO,Ibiza,IBZ,PMI,4h 05m,"Vueling, Swiftair",114 €,2024-03-25 22:17:00,2024-05-23
8:55,13:00,Bilbao,BIO,Ibiza,IBZ,PMI,4h 05m,"Vueling, Air Europa",116 €,2024-03-25 22:17:00,2024-05-23
11:40,18:10,Bilbao,BIO,Ibiza,IBZ,BCN,6h 30m,Vueling,102 €,2024-03-25 22:17:00,2024-05-23
15:45,21:45,Bilbao,BIO,Ibiza,IBZ,VLC,6h 00m,"Volotea, Iberia",95 €,2024-03-25 22:17:00,2024-05-23
15:50,21:55,Bilbao,BIO,Ibiza,IBZ,BCN,6h 05m,Vueling,120 €,2024-03-25 22:17:00,2024-05-23
11:40,14:40,Bilbao,BIO,Ibiza,IBZ,BCN,3h 00m,Iberia,320 €,2024-03-25 22:17:00,2024-05-23
15:50,19:25,Bilbao,BIO,Ibiza,IBZ,BCN,3h 35m,Iberia,271 €,2024-03-25 22:17:00,2024-05-23
14:15,18:10,Bilbao,BIO,Ibiza,IBZ,BCN,3h 55m,Iberia,251 €,2024-03-25 22:17:00,2024-05-23
