Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
6:50,9:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 10m,KLM,321 €,2024-03-27 00:30:00,2024-04-01
11:15,13:25,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 10m,Iberia,364 €,2024-03-27 00:30:00,2024-04-01
12:00,14:00,Bilbao,BIO,Ámsterdam-Schiphol,AMS,directo,2h 00m,KLM,378 €,2024-03-27 00:30:00,2024-04-01
7:10,11:30,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,4h 20m,Air France,245 €,2024-03-27 00:30:00,2024-04-01
7:10,13:10,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,6h 00m,Air France,217 €,2024-03-27 00:30:00,2024-04-01
12:30,18:40,Bilbao,BIO,Ámsterdam-Schiphol,AMS,LIS,6h 10m,TAP AIR PORTUGAL,234 €,2024-03-27 00:30:00,2024-04-01
13:40,18:30,Bilbao,BIO,Ámsterdam-Schiphol,AMS,MAD,4h 50m,Iberia,299 €,2024-03-27 00:30:00,2024-04-01
7:10,12:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,5h 25m,Vueling,290 €,2024-03-27 00:30:00,2024-04-01
8:55,15:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,BCN,6h 40m,Vueling,258 €,2024-03-27 00:30:00,2024-04-01
10:30,14:50,Bilbao,BIO,Ámsterdam-Schiphol,AMS,CDG,4h 20m,Air France,348 €,2024-03-27 00:30:00,2024-04-01
14:10,18:30,Bilbao,BIO,Ámsterdam-Schiphol,AMS,FRA,4h 20m,Lufthansa,362 €,2024-03-27 00:30:00,2024-04-01
19:00,0:35,Bilbao,BIO,Ámsterdam-Schiphol,AMS,LIS,5h 35m,"Vueling, Transavia",285 €,2024-03-27 00:30:00,2024-04-01
